0000                                    	1-GENERAL                               	PRUEBA                                  	                                        	                                        	           0,01	           0,00
0743682017606                           	33-CAMISA CABALLERO                     	CAMISA BLANCA MAN S/CH 32/33            	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017613                           	33-CAMISA CABALLERO                     	CAMISA BLANCA MAN M/CH 32/33            	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017620                           	33-CAMISA CABALLERO                     	CAMISA BLANCA MAN M/CH 32/33            	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017637                           	33-CAMISA CABALLERO                     	CAMISA BLANCA MAN L/CH 32/37            	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017644                           	33-CAMISA CABALLERO                     	CAMISA BLANCA MAN L/CH 32/37            	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017651                           	2-50% DESCUENTO                         	CAMISA BLANCA MAN XL/CH 34/35           	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017668                           	33-CAMISA CABALLERO                     	CAMISA BLANCA DE T/L                    	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017675                           	33-CAMISA CABALLERO                     	CML BLANCA DE MAN T/XL                  	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017682                           	33-CAMISA CABALLERO                     	CAMISA BLANCA MAN XL/CH 34/35           	                                        	                                        	         103,45	          34,48	DK-B01-101-WH
0743682017873                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN S/CH 32/33         	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017880                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN M/CH 32/33         	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017897                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN M/CH 32/33         	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017903                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN L/CH 32/33         	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017910                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN L/CH 34/35         	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017927                           	33-CAMISA CABALLERO                     	CAMISA NEGRA DE MAN T/XL                	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017934                           	33-CAMISA CABALLERO                     	CAMISA NEGRA DE MAN T/L                 	                                        	                                        	         103,45	          34,48	DK-B01104-BL
0743682017941                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN XL/CH 34/35        	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682017958                           	33-CAMISA CABALLERO                     	CAMISA  NEGRA DE MAN XL/CH 34/35        	                                        	                                        	         103,45	          34,48	DK-B01-104-BL
0743682018597                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN M/CH 32/33              	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018610                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN M/CH 32/33              	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018627                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN L/CH 32/33              	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018634                           	33-CAMISA CABALLERO                     	CML AZUL DE MAN T/L                     	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018641                           	33-CAMISA CABALLERO                     	CML AZUL DE MAN T/XL                    	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018658                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN L/CH 34/35              	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018665                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN XL/CH 32/35             	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682018672                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN XL/CH 34/35             	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682019495                           	33-CAMISA CABALLERO                     	CAMISA BLANCA  MAN S/CH 32/33           	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019501                           	33-CAMISA CABALLERO                     	CAMISA BLANCA  MAN M/CH 32/33           	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019518                           	33-CAMISA CABALLERO                     	CAMISA AZUL MAN M/CH 32/33              	                                        	                                        	         103,45	          34,48	DK-B01-112-RY
0743682019525                           	33-CAMISA CABALLERO                     	CAMISA BLANCA  MAN L/CH 32/33           	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019532                           	33-CAMISA CABALLERO                     	CML BLANCA TEXTURIZADA T/XL             	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019549                           	33-CAMISA CABALLERO                     	CML BLANCA DE MAN TEXTURIZADA T/XL      	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019556                           	33-CAMISA CABALLERO                     	CAMISA BLANCA  MAN L/CH 34/35           	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019563                           	33-CAMISA CABALLERO                     	CAMISA BLANCA  MAN XL/CH 34/35          	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
0743682019570                           	33-CAMISA CABALLERO                     	CAMISA BLANCA  MAN XL/CH 34/35          	                                        	                                        	         103,45	          34,48	DK-B01-122-WH
194948128343                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128350                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128367                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128374                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128398                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128404                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128411                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128428                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128435                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128442                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128459                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00DB120
194948128480                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/33X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128497                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/34X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128503                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/36X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128510                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/30X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128527                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/32X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128534                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/33X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128541                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/34X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128558                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/36X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128565                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/38X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128589                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/32X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128596                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/34X	                                        	                                        	          94,83	          30,17	DK00DB120
194948128602                            	29-PANTALON CABALLERO                   	JEAN NEGRO OSCURO BEDFORD SLIM FIT T/36X	                                        	                                        	          94,83	          30,17	DK00DB120
194948134825                            	30-POLO CABALLERO                       	POLO NEGRA TELA FRANELA S T/S           	                                        	                                        	          86,21	          28,02	DK00PL001
194948134832                            	30-POLO CABALLERO                       	POLO NEGRA TELA FRANELA M T/M           	                                        	                                        	          86,21	          28,02	DK00PL001
194948134849                            	30-POLO CABALLERO                       	POLO NEGRA TELA FRANELA L T/L           	                                        	                                        	          86,21	          28,02	DK00PL001
194948134856                            	30-POLO CABALLERO                       	POLO NEGRA TELA FRANELA XL T/XL         	                                        	                                        	          86,21	          28,02	DK00PL001
194948134863                            	30-POLO CABALLERO                       	POLO NEGRA TELA FRANELA XXL T/XXL       	                                        	                                        	          86,21	          28,02	DK00PL001
194948135020                            	30-POLO CABALLERO                       	CHEMISE  BLANCO/S                       	                                        	                                        	          86,21	          28,02	DK00PL001
194948135037                            	30-POLO CABALLERO                       	CHEMISE  BLANCO/M                       	                                        	                                        	          86,21	          28,02	DK00PL001
194948135044                            	30-POLO CABALLERO                       	CHEMISE  BLANCO/L                       	                                        	                                        	          86,21	          28,02	DK00PL001
194948135051                            	30-POLO CABALLERO                       	CHEMISE  BLANCO/XL                      	                                        	                                        	          86,21	          28,02	DK00PL001
194948178171                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178188                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178195                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178201                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178218                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178225                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178232                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948178355                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY T/ 32*30     	                                        	                                        	          94,83	          30,17	DK00WB555
194948178362                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY / T 34*30    	                                        	                                        	          94,83	          30,17	DK00WB555
194948178379                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /T 36*30     	                                        	                                        	          94,83	          30,17	DK00WB555
194948178386                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY / T 38*30    	                                        	                                        	          94,83	          30,17	DK00WB555
194948178393                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /32*32       	                                        	                                        	          94,83	          30,17	DK00WB555
194948178409                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /34*32       	                                        	                                        	          94,83	          30,17	DK00WB555
194948178416                            	29-PANTALON CABALLERO                   	PANTALON AZUL MARINO  DKNY /36*28       	                                        	                                        	          94,83	          30,17	DK00WB555
194948181867                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948181874                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948181881                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948181904                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948181911                            	29-PANTALON CABALLERO                   	DKNY JEAN  MEN                          	                                        	                                        	         120,69	          38,79	DK00WB555
194948181959                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 32X30 T/32 X 30  	                                        	                                        	          94,83	          30,17	DK00WB555
194948181966                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 34X30 T/34 X 30  	                                        	                                        	          94,83	          30,17	DK00WB555
194948181973                            	29-PANTALON CABALLERO                   	PANTALON GRIS CHARCOAL 36X30 T/36 X 30  	                                        	                                        	          94,83	          30,17	DK00WB555
